file,blockType,key,legacySection,font,fontStyle,fontSize,bold,italic,legacyFontId,legacyFontComment,knownFontCatalogEntry,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.support_tab,Button14,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.minelayer,Button15,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.repair,Button16,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.salvage,Button17,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.artillery_piece_supression_fire,Button18,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.hold_position,Button19,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.button,ScrollButton,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.scroll_up,InfoButton0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.scroll_down,InfoButton1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.obj,PauseButton0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.inmissionsave,PauseButton1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.inmissionload,PauseButton2,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.options,PauseButton3,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.restart_mission,PauseButton4,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.exit,PauseButton5,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1600.fit,GuiButton,game.buttonlayout1600.button.return_to_game,PauseButton6,Agency Regular,Regular,14,false,false,,,true,false
